Title,Num_Of_Prev_Drops,Whitepaper,Requirement_Count,Guide_Length,Social_Media_Count,is_scam
Undeads,0,1,0,9,7,0
Aether Games,0,1,0,17,6,0
Dmail Network,0,1,0,15,6,0
Presearch,1,1,0,17,10,0
Bitcoin Virtual Machine,0,1,0,10,2,0
StackingDAO,0,1,0,10,5,0
NAVI Protocol,0,1,0,9,5,0
Mind Network,0,1,0,12,8,0
XION,0,1,0,13,4,0
Ready To Fight,0,0,0,28,5,0
BRC-20 DEX,0,1,0,14,5,0
Web3Go,0,1,0,8,6,0
Berachain,0,1,0,19,6,0
Synonym,0,1,0,13,2,0
eesee,0,1,1,9,5,0
Unigraph Protocol,0,0,0,14,5,0
Virtual Labs,0,1,0,15,4,0
Manta Network,1,1,0,33,6,0
Sound.xyz,0,1,0,10,4,0
Reveel,0,1,0,8,4,0
Rain.fi,0,1,0,9,3,0
CARV,0,1,0,14,7,0
Swell,0,1,0,12,5,0
Frame,0,1,1,8,3,0
TeleportDAO,0,1,0,14,3,0
Seamless Protocol,0,1,0,31,8,0
BRC20,0,1,0,14,4,0
Kinza Finance,0,1,0,10,6,0
Elusiv,0,1,0,9,5,0
Phoenix,0,1,0,7,3,0
Marinade,0,0,0,9,7,0
Jito,0,1,0,8,7,0
Term Structure,0,1,0,9,5,0
Affine,0,1,0,7,6,0
NovaDEX,0,1,0,10,5,0
Futureverse,0,1,0,7,3,0
Script Network,1,1,1,24,5,0
Hinkal,0,1,0,11,5,0
Patex,0,0,0,12,6,0
Pyth Network,0,1,0,26,9,0
Meuna,0,1,0,11,4,0
Satori,0,1,0,10,4,0
marginfi,0,1,0,10,6,0
Scroll Name Service,0,0,0,8,2,0
Aori,0,1,0,8,5,0
GRVT,0,0,1,6,5,0
ShanHai,0,1,1,7,5,0
Tezos Domains,1,1,0,16,6,0
Derivio,0,1,0,8,4,0
Celestia,0,1,0,23,7,0
Base,0,1,0,12,4,0
BlueLight,0,1,1,9,9,0
Forcefi,0,1,0,5,3,0
Verida,0,1,1,8,9,0
Xai,0,1,0,10,4,0
Omni,0,1,0,10,5,0
Mangrove,0,1,0,7,5,0
Altitude,0,1,0,10,5,0
Ambient,0,1,0,10,5,0
Connext,1,1,0,15,9,0
Clipper,1,1,0,14,6,0
MoonlandMeta,0,0,0,7,6,0
Basilisk,0,1,0,10,5,0
Lightlink,0,1,0,10,3,0
Extra Finance,0,1,0,12,7,0
Hord,1,1,0,13,7,0
Chainflip,0,1,0,8,4,0
Web3Eco,0,0,0,11,5,0
Hubble Exchange,0,1,0,9,5,0
HMX,0,1,0,14,7,0
MELD,0,1,2,10,11,0
Worldcoin,0,1,2,14,7,0
DX25,0,1,1,12,6,0
Tsunami Finance,0,1,0,6,3,0
TapiocaDAO,0,1,0,11,3,0
Archway,0,1,0,11,7,0
zkSync id,0,1,0,8,6,0
Polygon zkEVM,0,0,0,12,8,0
Diva,0,1,0,10,5,0
Vela Exchange,1,1,0,16,9,0
Letit,0,1,4,12,7,0
WhiteBIT,3,0,1,30,6,0
Maverick Protocol,1,1,0,25,9,0
Tevaera,0,0,0,17,6,0
Velar,0,1,0,9,5,0
LunaFi,0,1,0,16,6,0
DBOE,0,0,1,8,5,0
Range Protocol,0,0,0,7,4,0
Cedro Finance,0,1,0,10,5,0
DigiFinex,0,0,0,9,6,0
BYDFi,0,0,0,8,7,0
Magic Square,0,1,0,6,8,0
StarkNet ID,0,1,0,12,3,0
