airdrop_name,positive,neutral,negative,total_words,total_upvotes,comment_count,average_comment_length,scam_probability,is_scam
re:factor,5.94E-05,0,3.35E-06,0.000736248,2.92E-05,0.000695614,0.000816294,-0.071625922,FALSE
GreenX,4.98E-06,0,3.56E-06,0.000326495,1.85E-06,0.000456497,0.000305141,-0.006280647,FALSE
FTW,0.007846805,0,0.003498926,0.024929021,0.007063599,0.012705831,0.026789612,-0.190535778,FALSE
Atlantis Blue,5.86E-07,0,1.42E-08,6.29E-05,7.23E-07,0.000119559,6.57E-05,-0.008477347,FALSE
Parkres,5.81E-08,0,6.35E-08,5.62E-05,1.11E-07,0.00010869,5.89E-05,-0.000142484,FALSE
LendsBay,0,0,0,0,0,0,0,0,FALSE
0xcert,4.25E-07,0,8.23E-07,0.000101738,1.08E-06,0.000130428,0.000102279,0.001981871,FALSE
Humanscape,3.31E-08,0,8.41E-10,4.39E-05,6.99E-08,7.61E-05,4.60E-05,-0.00068548,FALSE
CrowdIF,2.21E-06,0,0,3.14E-05,1.23E-06,0.000141297,1.94E-05,-0.065459998,FALSE
VideoCoin,3.19E-06,0,2.50E-07,0.000249025,3.40E-06,0.000543449,0.000221766,-0.011177596,FALSE
Nebula,0.00064916,0,0.000127609,0.002454223,0.0006249,0.002304223,0.001954694,-0.207858346,FALSE
NeoNameService,4.16E-07,0,8.00E-08,0.000222891,6.66E-07,9.78E-05,0.000265392,-0.001473711,FALSE
Sparkster,1.18E-05,0,8.32E-06,0.000476023,1.86E-05,0.000673876,0.000424386,-0.010330406,FALSE
Buddy,0.002673598,0,0.001398605,0.003147536,0.003798034,0.003967176,0.002894596,-0.466696014,FALSE
CrypStock,1.93E-07,0,0,7.39E-05,1.73E-07,6.52E-05,4.65E-05,-0.002425501,FALSE
Luvdub,1.07E-05,0,2.88E-07,0.000175662,1.34E-05,0.000478235,0.000142997,-0.055436159,FALSE
Aworker,2.37E-08,0,2.31E-08,0.0001443,6.99E-08,9.78E-05,0.000138634,-3.62E-05,FALSE
QLC Chain,5.38E-06,0,1.24E-06,0.000628536,1.13E-05,0.000771697,0.000659967,-0.006517937,FALSE
Sponsy,7.51E-08,0,0,1.01E-05,9.45E-08,1.09E-05,6.30E-06,-0.006912759,FALSE
