model_name,best_precision,best_recall,best_f1,best_accuracy
XGBoost,0.5172413793103449,0.8823529411764706,0.6521739130434783,0.9088319088319088
LightGBM,0.78125,0.9393939393939394,0.775,0.9544159544159544
RandomForest,0.34444444444444444,1.0,0.5040650406504065,0.8257142857142857
