Sentiment Model,Boosting Model,Precision,Recall,F1,Accuracy,ROC AUC
BERT,LightGBM,0.832,0.9541284403669724,0.8888888888888888,0.925925925925926,0.986655546288574
Custom Dictionary,LightGBM,0.38,1.0,0.5507246376811594,0.9116809116809116,0.989695624603678
RoBERTa,LightGBM,0.8235294117647058,0.9655172413793104,0.8888888888888888,0.9401709401709402,0.9887452107279692
TextBlob,LightGBM,0.4782608695652174,0.9166666666666666,0.6285714285714286,0.925925925925926,0.9661697247706422
VADER,LightGBM,0.4657534246575342,1.0,0.6355140186915887,0.8888888888888888,0.980005566895528
