airdrop_name,positive,neutral,negative,total_words,total_upvotes,comment_count,average_comment_length,scam_probability,is_scam,total,positive_percentage,neutral_percentage,negative_percentage
Corridor Finance,0.0,0,0.0,0,0,0,0,0.0,False,0,0.0,0,0.0
Nyan Heroes,10.003879308539377,0,1.453321747521615,612,51,20,359,-0.013971499,False,0,87.31521127707896,0,12.68478872292104
Cyber,2357.0602212556946,0,24355.85691021676,19538,363150,352,27202,1.1259492624097176,True,0,8.823672119577942,0,91.17632788042206
Ouinex,0.0,0,0.0,0,0,0,0,0.0,False,0,0.0,0,0.0
zkSync,2523.0261009068354,0,1751.0376645432923,25557,60405,832,25166,-0.030206536,False,0,59.03108234608007,0,40.96891765391993
DOGS,9048.501268,0,53286.32703564456,10222,820331,165,29306,4.327707470937238,True,0,14.515964050927074,0,85.48403594907292
Pontem,0.8677897115820619,0,2.884801135850642,673,114,25,451,0.002997045,False,0,23.125082026348576,0,76.87491797365142
ether.fi,222.55869352437816,0,236.0673355528833,4938,3623,208,3517,0.00273565,False,0,48.52727045871295,0,51.47272954128705
Ostium,2913.1400363422536,0,10.592635422961894,2276,59129,85,1887,-1.275284447,False,0,99.63770164333916,0,0.3622983566608553
Ancient8,6.279273362298104,0,0.0,204,89,7,157,-0.030780752,False,0,100.0,0,0.0
Usual,42351.30033049158,0,147144.66970763207,83518,2954731,1294,129109,1.254739928843369,True,0,22.34944644045525,0,77.65055355954475
BlastUP,347.407834,0,0.0,2559,1323,56,3081,-0.135759216,False,0,100.0,0,0.0
Base,144681.8369128905,0,460930.42328233615,361945,8731063,6569,523081,0.8737476311855272,True,0,23.890176342574453,0,76.10982365742555
Merkle Trade,0.0,0,0.0,0,0,0,0,0.0,False,0,0.0,0,0.0
PancakeSwap,4300.087603971233,0,1667.3583036871553,12074,102866,254,14397,-0.21804947,False,0,72.05909647966256,0,27.940903520337447
MYX,2322.410406550396,0,718.5035681156364,3500,80223,95,2730,-0.458259097,False,0,76.37211791910208,0,23.62788208089793
IBX,641.8630359888772,0,1320.6009721623996,8477,35725,178,7292,0.080068177,True,0,32.70699658,0,67.29300342
Texture,2520.536262042621,0,1321.1806003546544,3292,48550,50,4783,-0.36432432,False,0,65.60963111867066,0,34.390368881329344
VaultCraft,0.2156011209145242,0,0.8333436992703651,1696,18,30,1896,0.000364235,False,0,20.554095579262395,0,79.44590442
Newtify,0.0,0,0.0,0,0,0,0,0.0,False,0,0.0,0,0.0
Grass,598.1001835123037,0,29892.442655801933,6014,326558,108,9609,4.871024687776792,True,0,1.9615924408571648,0,98.03840755914284
Lavarage,0.0,0,0.0,56,0,2,36,0.0,False,0,0.0,0,0.0
Scroll,17280.26880007417,0,20136.41480431326,14040,1215247,318,13259,0.2034292025811317,True,0,46.183325552796745,0,53.81667444720325
Swords & Dungeons,0.2653478539508322,0,0.0,24,1,1,11,-0.011056161,False,0,100.0,0,0.0
Rain.fi,0.0,0,0.0,46,7,2,30,0.0,False,0,0.0,0,0.0
Macaron,2751.182950169268,0,339.16411692153224,870,23144,35,748,-2.772435441,False,0,89.02504768693132,0,10.974952313068693
Clone,396.3348004024165,0,5039.493614859936,7847,117649,132,10592,0.5917113310128099,True,0,7.291157301610447,0,92.70884269838956
Symbiotic,200078.71347817525,0,579430.3928,4193,5197311,175,3789,90.47261611,True,0,25.66727083169405,0,74.33272916830596
SuperBoring,0.0,0,0.0,0,0,0,0,0.0,False,0,0.0,0,0.0
Mocaverse,0.7965018272399902,0,2.185078454017639,708,56,28,483,0.001961266,False,0,26.71408287232253,0,73.28591712767748
Allora,0.0,0,0.0,508,1346,7,651,0.0,False,0,0.0,0,0.0
Jupiter,218.9878159165888,0,36.92759626074054,2216,20687,55,1950,-0.082157139,False,0,85.57038986180613,0,14.42961013819387
Kroma,83.29789234,0,0.4037958757318679,1205,714,38,558,-0.068791781,False,0,99.51757738,0,0.482422618
Amphor,2.331280512577396,0,0.0,157,20,4,81,-0.01484892,False,0,100.0,0,0.0
LI.FI,52.788047324966975,0,223.2512069,2608,831,83,2024,0.065361641,True,0,19.123384274137564,0,80.87661572586245
ZKcandy,0.4624378470990159,0,0.0,18,2,1,7,-0.025690992,False,0,100.0,0,0.0
Napier Finance,0.0,0,0.0,0,0,0,0,0.0,False,0,0.0,0,0.0
Gate.io,9167.028405648194,0,22244.77501097372,10986,990124,327,8695,1.190401110989034,True,0,29.18338779873223,0,70.81661220126777
Sunrise,11.402817052294342,0,340.08568471030776,1090,1988,35,713,0.3015439152825811,True,0,3.244150802974456,0,96.75584919702554
DeBank,153.21344681514822,0,22.369459447829616,2350,890,80,2338,-0.055678292,False,0,87.25988769412099,0,12.740112305878991
Rage Trade,51.22507309451314,0,2835.5654317148046,512,30078,9,505,5.438164762930257,True,0,1.774464513762724,0,98.22553548623728
Zircuit,22.897063022436093,0,3.554853727651196,796,286,25,613,-0.024299258,False,0,86.56107321,0,13.438926793989197
Super Champs,8.477097924,0,0.0,171,16,4,13,-0.049573672,False,0,100.0,0,0.0
Injera,61.23247150454666,0,22.558157934862027,357,365,16,257,-0.108331411,False,0,73.07794667997517,0,26.922053320024823
PredX,14.62059869,0,2.593774522453677,111,476,7,48,-0.108349767,False,0,84.93250674402094,0,15.067493255979054
Units,873.1236515,0,6914.111742228136,20592,132564,329,24600,0.293365778,True,0,11.21224166701666,0,88.78775833298334
Camp Network,4.711629314432546,0,267.1132966211655,2357,4488,43,6290,0.1113286666553809,True,0,1.733332327127662,0,98.26666767287232
Rivalz Network,14.757030078771734,0,0.0,737,63,17,619,-0.020023107,False,0,100.0,0,0.0
10K Dex,0.0,0,0.0,663,4,13,472,0.0,False,0,0.0,0,0.0
squid,5333.637362639569,0,14592.365283204628,10304,464798,271,8831,0.8985566693094972,True,0,26.767221993478767,0,73.23277800652124
GOAT Gaming,0.0,0,0.0,0,0,0,0,0.0,False,0,0.0,0,0.0
Hybrid,4741.758107656901,0,1301.3047591361385,8177,73744,178,10937,-0.420747627,False,0,78.46613897917761,0,21.533861020822386
LazyOtter,0.0,0,0.0,0,0,0,0,0.0,False,0,0.0,0,0.0
Zerion,7.713437043615944,0,0.0,543,19111,8,1215,-0.014205225,False,0,100.0,0,0.0
Chirp,693.8999671967339,0,738.1677794770267,3313,142040,106,3636,0.0133618509750355,True,0,48.45440928394928,0,51.54559071605072
Zebra,1237.8027306086665,0,7664.350096484978,2734,121878,55,1782,2.3506025478699017,True,0,13.904532472655625,0,86.09546752734437
AI Gram,0.0,0,0.0,0,0,0,0,0.0,False,0,0.0,0,0.0
Cog Finance,0.0,0,0.0,0,0,0,0,0.0,False,0,0.0,0,0.0
StakeStone,0.0,0,0.0,307,1,8,325,0.0,False,0,0.0,0,0.0
Mantle,672.7415696660079,0,1505.469523,9831,71693,336,21291,0.084704298,True,0,30.885049295277124,0,69.11495070472287
Superposition,0.93131695,0,9.627891351,1769,1146,34,1766,0.004916096,False,0,8.819950540518771,0,91.18004945948122
Symmetry Trade,0.0,0,0.0,0,0,0,0,0.0,False,0,0.0,0,0.0
Adrena,1577.5816376232897,0,1904.4315897830647,5705,78782,79,3288,0.0572918408693734,True,0,45.306595196319286,0,54.69340480368072
Movement,15523.130324614312,0,46567.46852835654,23720,778926,380,33668,1.3087832295000938,True,0,25.000774048536297,0,74.99922595
NX Finance,5.340808518411427,0,0.9905901281390848,851,186,26,748,-0.00511189,False,0,84.35432385,0,15.64567615212131
Superposition Finance,0.0,0,0.0,0,0,0,0,0.0,False,0,0.0,0,0.0
ORA,171133.2472292676,0,597675.8164919264,315006,12300609,6007,454329,1.3540776025302972,True,0,22.259525193543823,0,77.74047480645618
GammaSwap,0.0,0,0.0,0,0,0,0,0.0,False,0,0.0,0,0.0
Unite,67561.33801188259,0,55987.97086551366,25428,2324420,640,38491,-0.455142644,False,0,54.68370371778191,0,45.31629628221808
Shardeum,7.748089772714696,0,0.0,787,47,23,393,-0.009845095,False,0,100.0,0,0.0
Echelon,1179.4159384806842,0,574.1272045059209,959,32245,24,551,-0.631166563,False,0,67.25902029829291,0,32.74097970170709
Rho Markets,20.37428812547164,0,370.758020877838,1495,832,52,975,0.2343703898009139,True,0,5.209052705819615,0,94.79094729418038
Rainbow,5372.858008223334,0,8167.222763,13282,225829,311,13584,0.2103873479309897,True,0,39.68113705397207,0,60.31886294602793
Zeta,84.62542740810046,0,365.92468927943713,2772,4421,69,3028,0.1014788101988949,True,0,18.782689044732688,0,81.21731095526732
Optopia,1.3621782925724322,0,11.380808436779466,242,140,14,157,0.041399298,True,0,10.689631257598522,0,89.31036874240148
Blast,88175.56941713498,0,35460.155162588686,24342,5580199,756,24937,-2.165615572,False,0,71.31884389958581,0,28.68115610041417
Zeek Network,0.0,0,0.0,0,0,0,0,0.0,False,0,0.0,0,0.0
Summer.fi,0.9019506799763648,0,29.06383609991484,775,170,21,735,0.036337917,True,0,3.0099349187842,0,96.9900650812158
Infinex,15.174442864942831,0,6.605012292258368,1747,456,36,1339,-0.004905226,False,0,69.67319777017252,0,30.326802229827475
Mitosis,102.6538666737438,0,3.242708318958314,1690,378,42,1008,-0.058823171,False,0,96.93785344881854,0,3.0621465511814576
Sophon,0.0,0,4.436273988849388,388,39,14,186,0.0114336958475499,True,0,0.0,0,100.0
Voi Network,93.28723403,0,2573.1049858896363,1904,7710,46,1414,1.3024252898423667,True,0,3.4986313466137244,0,96.50136865338628
nftperp,0.0,0,139.28232919049745,1126,623,21,435,0.1236965623361433,True,0,0.0,0,100.0
Hyperlane,115.96212800229236,0,192.3515443796261,2762,2353,80,2097,0.0276572832647841,True,0,37.61173713329399,0,62.38826286670602
NURI Exchange,0.1422629661338273,0,0.1668550801831622,68,2,1,77,0.000361649,False,0,46.02221314117059,0,53.97778685882941
f(x) Protocol,0.6767467267251429,0,0.0,54,4,2,43,-0.012532347,False,0,100.0,0,0.0
The Backwoods,1687.0866527902745,0,4095.594182206649,2956,148401,101,2337,0.8147860383681916,True,0,29.17481875499657,0,70.82518124500344
Kinetix Finance,0.0,0,0.0,0,0,0,0,0.0,False,0,0.0,0,0.0
Binance,37517.52659733934,0,138075.5860391188,106645,2698021,2370,96783,0.9429233385698294,True,0,21.36617207476373,0,78.63382792523626
LayerZero,132.63154129851748,0,9.144795974,3708,1111,102,3789,-0.03330279,False,0,93.54984326,0,6.4501567399967055
EigenLayer,606.1056235622325,0,2773.840087042773,7369,7706,189,5865,0.2941694210178505,True,0,17.93240706974966,0,82.06759293025033
Vest,318661.1015017603,0,892672.2119041063,499095,17628392,9165,618500,1.1501039088797644,True,0,26.306640622785416,0,73.69335937721458
Koi Finance,83.54878321,0,0.0,1974,1009,53,1744,-0.042324612,False,0,100.0,0,0.0
100x,9904.117152,0,16702.59096950617,18333,389579,329,48354,0.370832586980906,True,0,37.22413575934386,0,62.77586424065614
DEGEN WAR$,0.0,0,0.0,0,0,0,0,0.0,False,0,0.0,0,0.0
Cherry,508.2791406948685,0,7538.438377298875,4186,79335,72,4221,1.6794455892508378,True,0,6.316602261211175,0,93.68339773878884
Zest Protocol,4.256693649446072,0,0.0,79,23,4,47,-0.053882198,False,0,100.0,0,0.0
