airdrop_name,positive,neutral,negative,total_words,total_upvotes,comment_count,average_comment_length,scam_probability,is_scam,total,positive_percentage,neutral_percentage,negative_percentage
Corridor Finance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
Nyan Heroes,10.00387931,0.0,1.453321748,612.0,51.0,20.0,359.0,-0.013971499,False,0.0,87.31521128,0.0,12.68478872
Cyber,2357.060221,0.0,24355.85691,19538.0,363150.0,352.0,27202.0,1.125949262,True,0.0,8.82367212,0.0,91.17632788
Ouinex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
zkSync,2523.026101,0.0,1751.037665,25557.0,60405.0,832.0,25166.0,-0.030206536,False,0.0,59.03108235,0.0,40.96891765
DOGS,9048.501268,0.0,53286.32704,10222.0,820331.0,165.0,29306.0,4.327707471,True,0.0,14.51596405,0.0,85.48403595
Pontem,0.867789712,0.0,2.884801136,673.0,114.0,25.0,451.0,0.002997045,False,0.0,23.12508203,0.0,76.87491797
ether.fi,222.5586935,0.0,236.0673356,4938.0,3623.0,208.0,3517.0,0.00273565,False,0.0,48.52727046,0.0,51.47272954
Ostium,2913.140036,0.0,10.59263542,2276.0,59129.0,85.0,1887.0,-1.275284447,False,0.0,99.63770164,0.0,0.362298357
Ancient8,6.279273362,0.0,0.0,204.0,89.0,7.0,157.0,-0.030780752,False,0.0,100.0,0.0,0.0
Usual,42351.30033,0.0,147144.6697,83518.0,2954731.0,1294.0,129109.0,1.254739929,True,0.0,22.34944644,0.0,77.65055356
BlastUP,347.407834,0.0,0.0,2559.0,1323.0,56.0,3081.0,-0.135759216,False,0.0,100.0,0.0,0.0
Base,144681.8369,0.0,460930.4233,361945.0,8731063.0,6569.0,523081.0,0.873747631,True,0.0,23.89017634,0.0,76.10982366
Reactor Fusion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
Merkle Trade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
PancakeSwap,4300.087604,0.0,1667.358304,12074.0,102866.0,254.0,14397.0,-0.21804947,False,0.0,72.05909648,0.0,27.94090352
MYX,2322.410407,0.0,718.5035681,3500.0,80223.0,95.0,2730.0,-0.458259097,False,0.0,76.37211792,0.0,23.62788208
IBX,641.863036,0.0,1320.600972,8477.0,35725.0,178.0,7292.0,0.080068177,True,0.0,32.70699658,0.0,67.29300342
Texture,2520.536262,0.0,1321.1806,3292.0,48550.0,50.0,4783.0,-0.36432432,False,0.0,65.60963112,0.0,34.39036888
VaultCraft,0.215601121,0.0,0.833343699,1696.0,18.0,30.0,1896.0,0.000364235,False,0.0,20.55409558,0.0,79.44590442
Newtify,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
Grass,598.1001835,0.0,29892.44266,6014.0,326558.0,108.0,9609.0,4.871024688,True,0.0,1.961592441,0.0,98.03840756
Lavarage,0.0,0.0,0.0,56.0,0.0,2.0,36.0,0.0,False,0.0,0.0,0.0,0.0
Scroll,17280.2688,0.0,20136.4148,14040.0,1215247.0,318.0,13259.0,0.203429203,True,0.0,46.18332555,0.0,53.81667445
Swords & Dungeons,0.265347854,0.0,0.0,24.0,1.0,1.0,11.0,-0.011056161,False,0.0,100.0,0.0,0.0
Rain.fi,0.0,0.0,0.0,46.0,7.0,2.0,30.0,0.0,False,0.0,0.0,0.0,0.0
Macaron,2751.18295,0.0,339.1641169,870.0,23144.0,35.0,748.0,-2.772435441,False,0.0,89.02504769,0.0,10.97495231
