airdrop_name,positive,neutral,negative,total_words,total_upvotes,comment_count,average_comment_length,scam_probability,is_scam,total,positive_percentage,neutral_percentage,negative_percentage
Corridor Finance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
Nyan Heroes,10.003879308539377,0.0,1.453321747521615,612.0,51.0,20.0,359.0,-0.013971499,False,0.0,87.31521127707896,0.0,12.68478872292104
Cyber,2357.0602212556946,0.0,24355.85691021676,19538.0,363150.0,352.0,27202.0,1.1259492624097176,True,0.0,8.823672119577942,0.0,91.17632788042206
Ouinex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
zkSync,2523.0261009068354,0.0,1751.0376645432923,25557.0,60405.0,832.0,25166.0,-0.030206536,False,0.0,59.03108234608007,0.0,40.96891765391993
DOGS,9048.501268,0.0,53286.32703564456,10222.0,820331.0,165.0,29306.0,4.327707470937238,True,0.0,14.515964050927074,0.0,85.48403594907292
Pontem,0.8677897115820619,0.0,2.884801135850642,673.0,114.0,25.0,451.0,0.002997045,False,0.0,23.125082026348576,0.0,76.87491797365142
ether.fi,222.55869352437816,0.0,236.06733555288332,4938.0,3623.0,208.0,3517.0,0.00273565,False,0.0,48.52727045871295,0.0,51.47272954128705
Ostium,2913.1400363422536,0.0,10.592635422961894,2276.0,59129.0,85.0,1887.0,-1.275284447,False,0.0,99.63770164333916,0.0,0.3622983566608553
Ancient8,6.279273362298104,0.0,0.0,204.0,89.0,7.0,157.0,-0.030780752,False,0.0,100.0,0.0,0.0
Usual,42351.30033049158,0.0,147144.66970763207,83518.0,2954731.0,1294.0,129109.0,1.254739928843369,True,0.0,22.34944644045525,0.0,77.65055355954475
BlastUP,347.407834,0.0,0.0,2559.0,1323.0,56.0,3081.0,-0.135759216,False,0.0,100.0,0.0,0.0
Base,144681.8369128905,0.0,460930.42328233615,361945.0,8731063.0,6569.0,523081.0,0.8737476311855272,True,0.0,23.890176342574453,0.0,76.10982365742555
Reactor Fusion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
Merkle Trade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
PancakeSwap,4300.087603971233,0.0,1667.3583036871553,12074.0,102866.0,254.0,14397.0,-0.21804947,False,0.0,72.05909647966256,0.0,27.940903520337447
MYX,2322.410406550396,0.0,718.5035681156364,3500.0,80223.0,95.0,2730.0,-0.458259097,False,0.0,76.37211791910208,0.0,23.62788208089793
IBX,641.8630359888772,0.0,1320.6009721623996,8477.0,35725.0,178.0,7292.0,0.080068177,True,0.0,32.70699658,0.0,67.29300342
Texture,2520.536262042621,0.0,1321.1806003546544,3292.0,48550.0,50.0,4783.0,-0.36432432,False,0.0,65.60963111867066,0.0,34.390368881329344
VaultCraft,0.2156011209145242,0.0,0.8333436992703651,1696.0,18.0,30.0,1896.0,0.000364235,False,0.0,20.554095579262395,0.0,79.44590442
Newtify,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
Grass,598.1001835123037,0.0,29892.442655801933,6014.0,326558.0,108.0,9609.0,4.871024687776792,True,0.0,1.9615924408571648,0.0,98.03840755914284
Lavarage,0.0,0.0,0.0,56.0,0.0,2.0,36.0,0.0,False,0.0,0.0,0.0,0.0
Scroll,17280.26880007417,0.0,20136.41480431326,14040.0,1215247.0,318.0,13259.0,0.2034292025811317,True,0.0,46.183325552796745,0.0,53.81667444720325
Swords & Dungeons,0.2653478539508322,0.0,0.0,24.0,1.0,1.0,11.0,-0.011056161,False,0.0,100.0,0.0,0.0
Rain.fi,0.0,0.0,0.0,46.0,7.0,2.0,30.0,0.0,False,0.0,0.0,0.0,0.0
Macaron,2751.182950169268,0.0,339.16411692153224,870.0,23144.0,35.0,748.0,-2.772435441,False,0.0,89.02504768693132,0.0,10.974952313068693
Clone,396.3348004024165,0.0,5039.493614859936,7847.0,117649.0,132.0,10592.0,0.5917113310128099,True,0.0,7.291157301610447,0.0,92.70884269838956
Symbiotic,200078.71347817525,0.0,579430.3928,4193.0,5197311.0,175.0,3789.0,90.47261611,True,0.0,25.66727083169405,0.0,74.33272916830596
SuperBoring,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
Mocaverse,0.7965018272399902,0.0,2.185078454017639,708.0,56.0,28.0,483.0,0.001961266,False,0.0,26.71408287232253,0.0,73.28591712767748
Allora,0.0,0.0,0.0,508.0,1346.0,7.0,651.0,0.0,False,0.0,0.0,0.0,0.0
Jupiter,218.9878159165888,0.0,36.92759626074054,2216.0,20687.0,55.0,1950.0,-0.082157139,False,0.0,85.57038986180613,0.0,14.42961013819387
Kroma,83.29789234,0.0,0.4037958757318679,1205.0,714.0,38.0,558.0,-0.068791781,False,0.0,99.51757738,0.0,0.482422618
Amphor,2.331280512577396,0.0,0.0,157.0,20.0,4.0,81.0,-0.01484892,False,0.0,100.0,0.0,0.0
LI.FI,52.788047324966975,0.0,223.2512069,2608.0,831.0,83.0,2024.0,0.065361641,True,0.0,19.123384274137564,0.0,80.87661572586245
ZKcandy,0.4624378470990159,0.0,0.0,18.0,2.0,1.0,7.0,-0.025690992,False,0.0,100.0,0.0,0.0
Napier Finance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
Gate.io,9167.028405648194,0.0,22244.77501097372,10986.0,990124.0,327.0,8695.0,1.190401110989034,True,0.0,29.18338779873223,0.0,70.81661220126777
Sunrise,11.402817052294342,0.0,340.08568471030776,1090.0,1988.0,35.0,713.0,0.3015439152825811,True,0.0,3.244150802974456,0.0,96.75584919702554
DeBank,153.21344681514822,0.0,22.369459447829616,2350.0,890.0,80.0,2338.0,-0.055678292,False,0.0,87.25988769412099,0.0,12.740112305878991
Rage Trade,51.22507309451314,0.0,2835.5654317148046,512.0,30078.0,9.0,505.0,5.438164762930257,True,0.0,1.774464513762724,0.0,98.22553548623728
Zircuit,22.897063022436093,0.0,3.554853727651196,796.0,286.0,25.0,613.0,-0.024299258,False,0.0,86.56107321,0.0,13.438926793989197
Super Champs,8.477097924,0.0,0.0,171.0,16.0,4.0,13.0,-0.049573672,False,0.0,100.0,0.0,0.0
Injera,61.23247150454666,0.0,22.558157934862027,357.0,365.0,16.0,257.0,-0.108331411,False,0.0,73.07794667997517,0.0,26.922053320024823
PredX,14.62059869,0.0,2.593774522453677,111.0,476.0,7.0,48.0,-0.108349767,False,0.0,84.93250674402094,0.0,15.067493255979054
Units,873.1236515,0.0,6914.111742228136,20592.0,132564.0,329.0,24600.0,0.293365778,True,0.0,11.21224166701666,0.0,88.78775833298334
