airdrop_name,positive,neutral,negative,total_words,total_upvotes,comment_count,average_comment_length,scam_probability,is_scam,total,positive_percentage,neutral_percentage,negative_percentage
Mean Finance,0.38491147,0,0.846805235,324,9,9,180,0.001425598,FALSE,1.231716705,31.25,0,68.75
Key App,736.6360711,0,372.1672446,4253,5866,115,3376,-0.085696879,FALSE,1108.803316,66.43523343,0,33.56476657
ParaSpace,16.65373995,0,0.14084507,942,85,33,579,-0.017529612,FALSE,16.79458502,99.16136618,0,0.838633823
Layerswap,4123.692907,0,211.0623354,2623,30690,54,1753,-1.491662437,FALSE,4334.755243,95.13092842,0,4.869071575
Aboard,234.0277878,0,334.7836637,2901,2461,54,2435,0.034731429,TRUE,568.8114515,41.14329752,0,58.85670248
MUN,580974.9903,0,166262.0787,488866,6973300,5396,407038,-0.848316127,FALSE,747237.069,77.74975499,0,22.25024501
Via Protocol,9.827930265,0,0,6908,243,73,4386,-0.001422688,FALSE,9.827930265,100,0,0
ChainHop,0,0,0,221,0,12,173,0,FALSE,0,0,0,0
Cega,2.585627747,0,0.117141742,235,32,5,165,-0.010504196,FALSE,2.702769489,95.66586266,0,4.334137335
Wombat,1981389.919,0,263148.5451,5564,8927561,177,3478,-308.81405,FALSE,2244538.464,88.27605099,0,11.72394901
