airdrop_name,positive,neutral,negative,total,total_words,positive_percentage,neutral_percentage,negative_percentage,scam_probability,is_scam
Corridor Finance,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False
Nyan Heroes,9.0633265376091,22.511696219444275,1.2283613681793213,32.8033841252327,612,27.629242467814464,68.62613971016499,3.744617822020544,-0.0128022306690029,False
Cyber,95.87035921216012,212.8898969590664,214.0564866065979,522.8167427778244,32132,18.337277934670325,40.71979329275915,40.942928772570525,0.003678144136513,False
Ouinex,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False
zkSync,351.2626622319221,834.7592724859715,107.304392516613,1293.3263272345066,34838,27.15963131926804,64.54359235622461,8.29677632450735,-0.0070026485365207,False
DOGS,38.97244560718536,109.56650602817535,84.54801830649376,233.08696994185448,31605,16.720130523343872,47.00670571825943,36.2731637583967,0.0014420367884609,False
Pontem,2.60653555393219,28.11617386341095,8.148367136716843,38.87107655405998,751,6.705591367677066,72.33186306097892,20.962545571344016,0.0073792697507119,False
ether.fi,55.00169843435288,245.97595727443692,10.558438867330551,311.5360945761204,5144,17.655000300748082,78.95584542430458,3.3891542749473333,-0.0086398249547088,False
Ostium,17.180146604776382,100.2087567448616,10.359464824199677,127.74836817383766,2276,13.44842744401866,78.442298854651,8.109273701330341,-0.0029967846136101,False
Ancient8,3.8414946794509888,6.095620930194855,0.0,9.937115609645844,204,38.65804555722482,61.34195444277518,0.0,-0.0188308562718185,False
Usual,286.3566425740719,1011.0297955870628,514.8219634592533,1812.208401620388,143152,15.801529356007055,55.78992982722348,28.408540816769456,0.0015959631781964,False
BlastUP,4.809298127889633,27.87853381037712,44.41426122188568,77.10209316015244,3548,6.237571420921103,36.157946779044366,57.60448180003453,0.0111626164301003,False
Base,1656.166631937027,5433.241347074509,2315.5211175084114,9404.929096519949,610542,17.609559997106718,57.7701468167893,24.620293186103986,0.0010799494311142,False
Reactor Fusion,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False
Merkle Trade,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False
PancakeSwap,83.51160645484924,233.0403717458248,49.14733278751373,365.6993109881878,18318,22.83613995038309,63.72458594907008,13.43927410054683,-0.0018759839320523,False
MYX,10.674169182777405,134.06065428256989,7.549000531435013,152.2838239967823,3722,7.0093913474374965,88.03341731515918,4.957191337403321,-0.0008396476763413,False
IBX,19.83111321926117,182.1092849969864,71.95549541711807,273.89589363336563,9384,7.240383547263729,66.48850502328308,26.271111429453192,0.0055546016834885,False
Texture,18.79220014810562,46.86426189541817,9.95663160085678,75.61309364438057,5227,24.85310313645952,61.97902986991597,13.16786699362451,-0.001690370871867,False
VaultCraft,4.849736392498016,34.62815743684769,6.005592405796051,45.48348623514176,2050,10.66263119635491,76.13347239441168,13.203896409233405,0.0005638322016087,False
Newtify,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False
Grass,18.83600896596909,84.26397031545639,50.385977149009705,153.48595643043518,10724,12.272138379322136,54.90011742777754,32.82774419290032,0.0029419962871168,False
Lavarage,2.935522198677063,0.0,0.0,2.935522198677063,56,100.0,0.0,0.0,-0.0524200392620904,False
