airdrop_name,positive,neutral,negative,total,total_words,positive_percentage,neutral_percentage,negative_percentage,scam_probability,is_scam
deBridge,4,1,2,7,662,57.14285714285714,14.285714285714285,28.57142857142857,-0.0030211480362537764,False
Aethir,13,0,1,14,1869,92.85714285714286,0.0,7.142857142857142,-0.006420545746388443,False
Glyph,4,0,0,4,776,100.0,0.0,0.0,-0.005154639175257732,False
0xAstra,0,0,0,0,0,0,0,0,0,False
SOFA,12,5,3,20,3463,60.0,25.0,15.0,-0.0025989026855327752,False
ZKsync,209,29,12,250,34838,83.6,11.600000000000001,4.8,-0.00565474481887594,False
Taiko,9,2,0,11,3679,81.81818181818183,18.181818181818183,0.0,-0.002446316933949443,False
Revert,29,34,13,76,20712,38.15789473684211,44.73684210526316,17.105263157894736,-0.000772499034376207,False
Nexis Network,1,0,0,1,42,100.0,0.0,0.0,-0.023809523809523808,False
Bitflow,1,0,0,1,516,100.0,0.0,0.0,-0.001937984496124031,False
KIP Protocol,2,1,0,3,333,66.66666666666666,33.33333333333333,0.0,-0.006006006006006006,False
Dunes,18,9,2,29,5916,62.06896551724138,31.03448275862069,6.896551724137931,-0.002704530087897228,False
Biokript,2,0,0,2,108,100.0,0.0,0.0,-0.018518518518518517,False
D8X,1,0,3,4,1126,25.0,0.0,75.0,0.0017761989342806395,False
Fuel,257,107,184,548,65522,46.8978102189781,19.525547445255476,33.57664233576642,-0.0011141296053234029,False
RIZE,278,134,95,507,89103,54.83234714003945,26.429980276134124,18.73767258382643,-0.002053802902259183,False
Jigsaw,2,2,2,6,1007,33.33333333333333,33.33333333333333,33.33333333333333,0.0,False
Turtle Club,9,1,5,15,4306,60.0,6.666666666666667,33.33333333333333,-0.0009289363678588017,False
Rivo.xyz,0,0,0,0,0,0,0,0,0,False
GM Network,3,4,3,10,2106,30.0,40.0,30.0,0.0,False
Pocket Protector,24,7,4,35,2443,68.57142857142857,20.0,11.428571428571429,-0.008186655751125664,False
Olive Network,0,0,0,0,138,0,0,0,0,False
Zaros,12,14,0,26,7487,46.15384615384615,53.84615384615385,0.0,-0.0016027781487912382,False
Avarik Saga,1,0,0,1,230,100.0,0.0,0.0,-0.004347826086956522,False
Forma,1242,635,554,2431,391037,51.090086384204035,26.12093788564377,22.7889757301522,-0.0017594243000023015,False
GaiaNet,0,0,0,0,0,0,0,0,0,False
ALIENX,2,0,0,2,84,100.0,0.0,0.0,-0.023809523809523808,False
Hyperliquid,9,0,1,10,267,90.0,0.0,10.0,-0.0299625468164794,False
Onchain,46,12,13,71,31175,64.7887323943662,16.901408450704224,18.30985915492958,-0.0010585404971932637,False
Syrup,5,3,4,12,2235,41.66666666666667,25.0,33.33333333333333,-0.00044742729306487697,False
Sender Labs,0,0,0,0,0,0,0,0,0,False
Ithaca Protocol,1,2,0,3,547,33.33333333333333,66.66666666666666,0.0,-0.0018281535648994515,False
Marginly,0,0,0,0,0,0,0,0,0,False
Anichess,1,1,2,4,1120,25.0,25.0,50.0,0.0008928571428571428,False
Equation,38,39,14,91,12213,41.75824175824176,42.857142857142854,15.384615384615385,-0.0019651191353475803,False
Quantcheck,0,0,0,0,0,0,0,0,0,False
Nekodex,7,0,0,7,1512,100.0,0.0,0.0,-0.004629629629629629,False
Solayer,1,0,0,1,1036,100.0,0.0,0.0,-0.0009652509652509653,False
Fantasy Top,26,13,4,43,5906,60.46511627906976,30.23255813953488,9.30232558139535,-0.0037250253979004403,False
Anzen,0,1,0,1,1324,0.0,100.0,0.0,0.0,False
EVAA Protocol,0,0,0,0,8,0,0,0,0,False
Eigenpie,3,0,0,3,760,100.0,0.0,0.0,-0.003947368421052632,False
Oasis AI,15,0,0,15,1559,100.0,0.0,0.0,-0.009621552277100705,False
Nexo,16,15,8,39,7943,41.02564102564102,38.46153846153847,20.51282051282051,-0.0010071761299257208,False
