airdrop_name,positive,neutral,negative,total,total_words,positive_percentage,neutral_percentage,negative_percentage,scam_probability,is_scam
Corridor Finance,0,0,0,0,0,0,0,0,0,False
Nyan Heroes,11.464688196778297,0.7707982659339905,1.830737754702568,14.066224217414856,612,81.50508636556712,5.479780885190885,13.015132749241983,-0.015741749088359035,False
Cyber,71.44260485470295,23.824436143040657,229.25522415339947,324.5222651511431,32132,22.014700538784066,7.341387233305752,70.64391222791018,0.00491138489041132,False
Ouinex,0,0,0,0,0,0,0,0,0,False
zkSync,315.3912146538496,61.83289363980293,146.37535817921162,523.5994664728642,34838,60.23520550515972,11.809197220220517,27.95559727461976,-0.004851479891917963,False
DOGS,29.875560879707336,13.959424003958702,76.606036901474,120.44102178514004,31605,24.805137350132785,11.5902570378899,63.60460561197732,0.0014785785800274216,False
Pontem,2.404339522123337,2.258584201335907,5.755349189043045,10.418272912502289,751,23.078100778470162,21.679065429602325,55.24283379192752,0.004462063471264591,False
ether.fi,105.4660906791687,3.9289200454950333,69.17028173804283,178.56529246270657,5144,59.06304031686076,2.200270831643047,38.7366888514962,-0.007055950416237533,False
Ostium,17.960390150547028,2.034862697124481,46.76412785053253,66.75938069820404,2276,26.903170704563166,3.0480550835595497,70.04877421187729,0.012655420782067444,False
Ancient8,4.980648696422577,0.3277021050453186,1.2413494288921356,6.549700230360031,204,76.04391836645623,5.003314556692392,18.95276707685139,-0.01832989837024726,False
Usual,259.75656020641327,216.92400282621384,495.4999953508377,972.1805583834648,143152,26.71896264191239,22.313139360337917,50.96789799774969,0.0016468050404075698,False
BlastUP,6.440086483955383,2.247175008058548,46.049530535936356,54.73679202795029,3548,11.765553378917195,4.105419636048586,84.12902698503422,0.011163879383309181,False
Base,1459.606531277299,662.0596606135368,2890.2850316017866,5011.951223492622,610542,29.122520674895142,13.209618990509146,57.66786033459571,0.002343292517671983,False
Reactor Fusion,0,0,0,0,0,0,0,0,0,False
Merkle Trade,0,0,0,0,0,0,0,0,0,False
PancakeSwap,90.8947375267744,42.19233204424381,67.01070587337017,200.0977754443884,18318,45.42516143665779,21.085857626623138,33.488980936719074,-0.001303855860541775,False
MYX,9.145044684410095,2.777282238006592,63.01518228650093,74.93750920891762,3722,12.20356104833256,3.70613097142558,84.09030798024186,0.014473438367031391,False
IBX,35.79842355847359,25.79228773713112,53.75860396027565,115.34931525588036,9384,31.03479503026233,22.360156781092172,46.6050481886455,0.00191391521758334,False
Texture,12.265550285577774,10.671046674251556,10.652045220136642,33.58864217996597,5227,36.51695778549093,31.769806642009268,31.713235572499805,-0.00030868663964819814,False
VaultCraft,3.143184721469879,0.4093574285507202,21.92916737496853,25.481709524989128,2050,12.335062207609951,1.6064755315936554,86.0584622607964,0.009163893977316415,False
Newtify,0,0,0,0,0,0,0,0,0,False
Grass,29.240868613123894,12.487575620412827,38.481751680374146,80.21019591391087,10724,36.45530132417074,15.568563919000608,47.97613475682866,0.0008617011439062152,False
Lavarage,1.7954356670379639,0.36817994713783264,0,2.1636156141757965,56,82.98311656074425,17.016883439255746,0.0,-0.0320613511971065,False
Scroll,64.2836303114891,41.097201839089394,148.47258688509464,253.85341903567314,16619,25.3231296059304,16.18934343890564,58.48752695516396,0.005065825655791897,False
Swords & Dungeons,0.5347054600715637,0,0.52215176820755,1.0568572282791138,24,50.59391616616252,0.0,49.40608383383748,-0.000523070494333903,False
Rain.fi,0,0.5928439497947693,0.49855536222457886,1.0913993120193481,46,0.0,54.3196191591753,45.6803808408247,0.01083816004836041,False
Macaron,18.562522500753403,1.3564701974391937,14.81901416182518,34.73800686001778,1012,53.43577302967895,3.904859029204819,42.65936794111623,-0.00369911891198441,False
Clone,31.28534011542797,13.53845426440239,60.84096236526966,105.66475674510002,12460,29.608112561976597,12.812648873135466,57.57923856488794,0.0023720403089760585,False
Symbiotic,88.59897562861443,12.547087579965591,40.64475038647652,141.79081359505653,4475,62.48569521693145,8.849013036767737,28.665291746300813,-0.010716027987069924,False
SuperBoring,0,0,0,0,0,0,0,0,0,False
Mocaverse,8.854281395673752,2.5306295454502106,6.938718810677528,18.32362975180149,735,48.321656329053695,13.810743721240119,37.86759994970618,-0.0026062075986343176,False
Allora,2.9734215438365936,0,1.5055496096611023,4.478971153497696,691,66.38626242356136,0.0,33.61373757643864,-0.0021242719742047634,False
Jupiter,14.759009033441544,5.858571544289589,20.913141429424286,41.53072200715542,2568,35.537569105826485,14.106596902601892,50.35583399157163,0.002396469001550912,False
Kroma,33.380361795425415,0.6369889676570892,2.4634310752153397,36.480781838297844,1261,91.50122369466989,1.7460946162847109,6.752681689045403,-0.02451778804140371,False
Amphor,0.46446850895881653,0.34968405961990356,1.5621813237667084,2.3763338923454285,157,19.545591234251543,14.71527468199207,65.73913408375638,0.006991801368203133,False
LI.FI,15.853922665119171,6.571831613779068,42.903738498687744,65.32949277758598,2741,24.267634709936893,10.05951727828784,65.67284801177526,0.00986859388309689,False
ZKcandy,1.2521634697914124,0,0,1.2521634697914124,18,100.0,0.0,0.0,-0.06956463721063402,False
Napier Finance,0,0,0,0,0,0,0,0,0,False
Gate.io,49.64708349108696,20.689851075410843,184.22219218313694,254.55912674963474,12128,19.503163813064187,8.127719221695722,72.36911696524008,0.011096232576851087,False
Sunrise,5.333331853151321,0.5955658257007599,23.024019420146942,28.952917098999023,1134,18.420706400377558,2.0570149241416162,79.52227867548083,0.015600253586415891,False
DeBank,39.465919226408005,6.477805733680725,18.09493625164032,64.03866121172905,3127,61.62827029741151,10.115460896759467,28.256268805829016,-0.006834340573958326,False
Rage Trade,1.2198691368103027,0.77236607670784,6.806279510259628,8.798514723777771,627,13.864489349703948,8.778368860604841,77.35714178969121,0.008909745412199882,False
Zircuit,15.475549966096878,0,3.622493162751198,19.098043128848076,850,81.03212387619268,0.0,18.967876123807315,-0.013944772709818448,False
Super Champs,4.428873240947723,0,0.538044273853302,4.966917514801025,171,89.1674409279,0.0,10.832559072099993,-0.022753385772481996,False
Injera,11.372071653604507,0.39155900478363037,4.254381150007248,16.018011808395386,357,70.99552547241949,2.4444919223895556,26.559982605190957,-0.0199375084134377,False
PredX,6.126507729291916,0.3387446999549866,0.9449414014816284,7.410193830728531,111,82.67675406662865,4.571333863768621,12.75191206960273,-0.04668077772802061,False
Units,52.325775265693665,31.47610181570053,224.99975150823593,308.8016285896301,29961,16.944786044256897,10.192984395665047,72.86222956007805,0.0057632914870178655,False
Camp Network,2.1088105142116547,1.1030293703079224,36.509049475193024,39.7208893597126,6706,5.3090717458872945,2.7769503354239684,91.91397791868874,0.005129770199967397,False
Rivalz Network,8.349526405334473,2.139977067708969,0.3281574249267578,10.8176608979702,767,77.18421278024307,19.782253186643235,3.033534033113688,-0.010458108188276029,False
10K Dex,0.8883034437894821,1.497202843427658,1.8591894805431366,4.244695767760277,663,20.927376009758113,35.27232398607593,43.800300004165955,0.0014643831625243658,False
squid,28.064294189214706,22.289458692073822,199.57511089742184,249.92886377871037,12402,11.228912805390548,8.918321139493973,79.85276605511548,0.013829286946315685,False
GOAT Gaming,0,0,0,0,0,0,0,0,0,False
